flag; num; time_ms; ds_temp; lat; lon; alt; fix; crc
6;298;225838;292;56.411106;40.975948;129.199997;1;27816
6;299;226437;292;56.411114;40.975964;129.300003;1;1094
6;300;227131;292;56.411118;40.975979;129.399994;1;29757
6;301;227710;292;56.411118;40.975979;129.399994;1;1844
6;302;228385;292;56.411121;40.975998;129.399994;1;29513
6;303;228990;292;56.411129;40.976013;129.399994;1;25052
6;304;229669;292;56.411129;40.976013;129.399994;1;8426
6;305;230271;292;56.411137;40.976021;129.500000;1;10994
6;306;230945;292;56.411140;40.976032;129.500000;1;48966
6;307;231538;292;56.411140;40.976032;129.500000;1;6162
6;308;232230;292;56.411140;40.976040;129.500000;1;28337
6;309;233177;293;56.411140;40.976040;129.500000;1;48214
6;310;233758;293;56.411140;40.976040;129.500000;1;18570
6;311;234429;1572;56.411140;40.976040;129.500000;1;13238
6;312;235021;293;56.411140;40.976040;129.500000;1;59650
6;313;235707;613;56.411140;40.976040;129.500000;1;19707
6;314;236292;293;56.411140;40.976040;129.500000;1;60695
6;315;236961;293;56.411140;40.976040;129.500000;1;23670
6;316;237565;293;56.411140;40.976040;129.500000;1;36029
6;317;238264;293;56.411140;40.976040;129.500000;1;63718
6;318;238865;293;56.411140;40.976040;129.500000;1;55898
6;319;239549;293;56.411140;40.976040;129.500000;1;54717
6;320;240117;293;56.411140;40.976040;129.500000;1;11146
6;321;240800;293;56.411140;40.976040;129.500000;1;39363
6;322;241402;293;56.411140;40.976040;129.500000;1;51891
6;323;242099;293;56.411140;40.976040;129.500000;1;25429
6;324;242664;293;56.411140;40.976040;129.500000;1;35201
6;325;243334;293;56.411140;40.976036;129.500000;1;25138
6;326;243923;293;56.411140;40.976036;129.500000;1;39595
6;327;244609;293;56.411140;40.976036;129.500000;1;4633
6;328;245199;293;56.411140;40.976036;129.500000;1;24897
6;329;245869;293;56.411140;40.976036;129.500000;1;59293
6;330;246459;293;56.411140;40.976036;129.500000;1;65029
6;331;247147;293;56.411140;40.976036;129.500000;1;47302
6;332;247735;294;56.411140;40.976036;129.500000;1;6625
6;333;248418;294;56.411140;40.976036;129.500000;1;51214
6;334;248990;294;56.411140;40.976036;129.500000;1;32170
6;335;249670;294;56.411140;40.976036;129.500000;1;23536
6;336;250258;294;56.411140;40.976036;129.500000;1;15168
6;337;250957;294;56.411140;40.976036;129.500000;1;10209
6;338;251541;294;56.411140;40.976036;129.500000;1;19015
6;339;252204;294;56.411140;40.976036;129.500000;1;4612
6;340;252804;294;56.411140;40.976036;129.500000;1;35210
6;341;253479;294;56.411140;40.976036;129.500000;1;56473
6;342;254079;295;56.411140;40.976036;129.500000;1;35810
6;343;254746;295;56.411144;40.976036;129.500000;1;11467
6;344;255350;295;56.411144;40.976036;129.500000;1;37686
6;345;256038;295;56.411144;40.976040;129.500000;1;44339
6;346;256655;295;56.411144;40.976040;129.500000;1;36633
6;347;257357;295;56.411144;40.976040;129.500000;1;21912
6;348;257935;295;56.411144;40.976040;129.500000;1;21497
6;349;258616;295;56.411144;40.976040;129.500000;1;32056
6;350;259206;295;56.411144;40.976040;129.500000;1;42487
6;351;259892;295;56.411144;40.976040;129.500000;1;7746
6;352;260472;295;56.411144;40.976040;129.500000;1;45852
6;353;261145;295;56.411144;40.976040;129.500000;1;6573
6;354;261733;295;56.411144;40.976040;129.500000;1;52839
6;355;262420;295;56.411144;40.976040;129.399994;1;19331
6;356;263018;295;56.411144;40.976040;129.399994;1;22509
6;357;263671;295;56.411144;40.976040;129.399994;1;9813
6;358;264275;295;56.411144;40.976040;129.399994;1;1019
6;359;264957;295;56.411144;40.976040;129.399994;1;40963
6;360;265545;295;56.411144;40.976040;129.399994;1;7185
6;361;266215;295;56.411144;40.976040;129.399994;1;49129
6;362;266798;295;56.411144;40.976040;129.399994;1;53064
6;363;267492;295;56.411144;40.976040;129.399994;1;30150
6;364;268094;296;56.411144;40.976040;129.399994;1;31783
6;365;268779;296;56.411144;40.976040;129.399994;1;44474
6;366;269359;296;56.411144;40.976040;129.399994;1;55477
6;367;270031;296;56.411144;40.976040;129.399994;1;52743
6;368;270631;296;56.411144;40.976040;129.399994;1;9119
6;369;271317;296;56.411144;40.976040;129.399994;1;43375
6;370;271919;296;56.411144;40.976040;129.399994;1;63673
6;371;272588;296;56.411144;40.976040;129.399994;1;40387
6;372;273178;296;56.411144;40.976040;129.399994;1;5073
6;373;273863;296;56.411144;40.976040;129.399994;1;41757
6;374;274452;296;56.411144;40.976040;129.399994;1;57280
6;375;275135;296;56.411144;40.976040;129.399994;1;59960
6;376;275706;296;56.411144;40.976040;129.399994;1;31582
6;377;276384;296;56.411144;40.976040;129.399994;1;25554
6;378;276977;296;56.411144;40.976036;129.399994;1;14455
6;379;278407;296;56.411144;40.976036;129.399994;1;39158
6;380;279019;296;56.411144;40.976036;129.399994;1;58797
6;381;279716;296;56.411144;40.976036;129.399994;1;23448
6;382;280318;296;56.411144;40.976036;129.399994;1;2280
6;383;280999;296;56.411144;40.976036;129.399994;1;25516
6;384;281578;296;56.411144;40.976036;129.399994;1;15551
6;385;282262;296;56.411144;40.976036;129.399994;1;41069
6;386;282855;296;56.411144;40.976036;129.399994;1;33454
6;387;283539;296;56.411144;40.976036;129.399994;1;36518
6;388;284105;296;56.411144;40.976036;129.399994;1;19146
6;389;284793;297;56.411144;40.976036;129.399994;1;535
6;390;285383;296;56.411144;40.976036;129.399994;1;33923
6;391;286095;297;56.411144;40.976036;129.399994;1;24086
6;392;286686;297;56.411144;40.976036;129.399994;1;18325
6;393;287338;297;56.411144;40.976036;129.399994;1;61067
6;394;287940;297;56.411144;40.976036;129.399994;1;1561
6;395;288650;297;56.411144;40.976036;129.399994;1;26327
6;396;289269;297;56.411144;40.976036;129.399994;1;42350
6;397;289950;297;56.411144;40.976036;129.399994;1;13310
6;398;290514;297;56.411144;40.976036;129.399994;1;46291
6;399;291202;297;56.411144;40.976036;129.399994;1;25417
6;400;291790;297;56.411144;40.976036;129.399994;1;49764
6;401;292486;297;56.411144;40.976036;129.399994;1;17998
6;402;293066;297;56.411144;40.976036;129.399994;1;49323
6;403;293737;297;56.411144;40.976036;129.399994;1;38236
6;404;294323;297;56.411144;40.976036;129.399994;1;50169
6;405;295007;297;56.411144;40.976036;129.300003;1;36366
6;406;295596;297;56.411144;40.976036;129.300003;1;24876
6;407;296253;297;56.411144;40.976036;129.300003;1;14468
6;408;296859;298;56.411144;40.976036;129.300003;1;64359
6;409;297547;298;56.411144;40.976036;129.300003;1;48264
6;410;298150;298;56.411144;40.976036;129.300003;1;59246
6;411;298809;298;56.411144;40.976036;129.300003;1;14943
6;412;299377;298;56.411144;40.976036;129.300003;1;25057
6;413;300062;298;56.411144;40.976036;129.300003;1;49006
6;414;300650;298;56.411144;40.976036;129.300003;1;63642
6;415;301336;10538;56.411144;40.976036;129.300003;1;26622
6;416;301904;10538;56.411144;40.976036;129.300003;1;33655
6;417;302577;298;56.411144;40.976036;129.300003;1;3245
6;418;303165;298;56.411144;40.976036;129.300003;1;8147
6;419;303858;298;56.411144;40.976036;129.300003;1;50170
6;420;304459;298;56.411144;40.976036;129.300003;1;46752
6;421;305112;298;56.411144;40.976036;129.300003;1;17281
6;422;305715;298;56.411144;40.976036;129.300003;1;3450
6;423;306399;298;56.411144;40.976036;129.300003;1;13134
6;424;307000;298;56.411144;40.976036;129.300003;1;64722
6;425;307683;298;56.411144;40.976036;129.300003;1;43918
6;426;308265;298;56.411144;40.976036;129.399994;1;13249
6;427;308976;298;56.411144;40.976036;129.399994;1;15285
6;428;309567;298;56.411144;40.976036;129.399994;1;51731
6;429;310249;298;56.411144;40.976036;129.399994;1;26694
6;430;310818;298;56.411144;40.976036;129.399994;1;46952
6;431;311506;298;56.411144;40.976036;129.399994;1;27888
6;432;312093;298;56.411144;40.976036;129.399994;1;56613
6;433;312790;298;56.411144;40.976036;129.399994;1;47540
6;434;313379;298;56.411144;40.976036;129.399994;1;45868
6;435;314035;298;56.411144;40.976036;129.399994;1;13325
6;436;314637;298;56.411144;40.976036;129.399994;1;31560
6;437;315323;299;56.411144;40.976036;129.399994;1;54831
6;438;315913;299;56.411144;40.976036;129.399994;1;54563
6;439;316582;299;56.411144;40.976036;129.399994;1;22627
6;440;317150;299;56.411144;40.976036;129.399994;1;28539
6;441;317845;299;56.411144;40.976036;129.399994;1;39037
6;442;318434;299;56.411144;40.976036;129.399994;1;44425
6;443;319134;299;56.411144;40.976036;129.399994;1;12635
6;444;319720;299;56.411144;40.976040;129.399994;1;20672
6;445;320396;299;56.411144;40.976040;129.399994;1;27797
6;446;321001;299;56.411144;40.976040;129.399994;1;13700
6;447;321676;299;56.411144;40.976040;129.399994;1;9797
6;448;322289;939;56.411144;40.976040;129.399994;1;48525
6;449;322958;939;56.411144;40.976040;129.399994;1;41756
6;450;323559;300;56.411144;40.976040;129.399994;1;2252
6;451;324248;300;56.411144;40.976036;129.399994;1;3757
6;452;324835;300;56.411144;40.976036;129.399994;1;29796
6;453;325509;300;56.411144;40.976036;129.399994;1;58414
6;454;326086;300;56.411144;40.976036;129.399994;1;51434
6;455;326771;300;56.411144;40.976036;129.399994;1;18852
6;456;327369;300;56.411144;40.976036;129.399994;1;33054
6;457;328066;300;56.411144;40.976036;129.399994;1;32090
6;458;328633;300;56.411144;40.976036;129.399994;1;20987
6;459;329301;300;56.411144;40.976036;129.399994;1;28605
6;460;329905;300;56.411144;40.976036;129.399994;1;60590
6;461;330589;300;56.411144;40.976036;129.399994;1;53772
6;462;331193;300;56.411144;40.976036;129.399994;1;51147
6;463;331851;300;56.411144;40.976036;129.399994;1;48766
6;464;332443;300;56.411144;40.976036;129.399994;1;26086
6;465;333125;300;56.411144;40.976040;129.300003;1;9542
6;466;333733;300;56.411144;40.976040;129.300003;1;34873
6;467;334418;300;56.411144;40.976040;129.300003;1;38259
6;468;334987;300;56.411144;40.976040;129.300003;1;45526
6;469;335678;300;56.411144;40.976040;129.300003;1;12412
6;470;336276;300;56.411144;40.976040;129.300003;1;26302
6;471;336972;301;56.411144;40.976040;129.300003;1;61180
6;472;337554;301;56.411144;40.976040;129.300003;1;53143
6;473;338222;301;56.411144;40.976040;129.300003;1;468
6;474;338823;301;56.411144;40.976040;129.300003;1;9214
6;475;339508;301;56.411144;40.976040;129.300003;1;18096
6;476;340110;301;56.411144;40.976040;129.300003;1;45643
6;477;340766;301;56.411144;40.976040;129.300003;1;50523
6;478;341388;301;56.411144;40.976040;129.300003;1;42255
6;479;342085;301;56.411144;40.976040;129.300003;1;40092
