flag; num; time_ms; gps_time_s; gps_time_us; crc
8;347;257357;51368;0;61421
8;348;257935;51369;0;2432
8;349;258616;51369;0;63302
8;350;259206;51370;0;41123
8;351;259892;51371;0;4432
8;352;260472;51371;0;18755
8;353;261145;51372;0;52385
8;354;261733;51372;0;29565
8;355;262420;51373;0;28155
8;356;263018;51374;0;57629
8;357;263671;51374;0;58224
8;358;264275;51375;0;52053
8;359;264957;51376;0;8294
8;360;265545;51376;0;27699
8;361;266215;51377;0;9381
8;362;266798;51378;0;28914
8;363;267492;51378;0;37060
8;364;268094;51379;0;33304
8;365;268779;51380;0;8971
8;366;269359;51380;0;23955
8;367;270031;51381;0;55507
8;368;270632;51381;0;57399
8;369;271317;51382;0;51336
8;370;271919;51383;0;47269
8;371;272588;51383;0;35936
8;372;273178;51384;0;5841
8;373;273863;51385;0;36399
8;374;274452;51385;0;14367
8;375;275135;51386;0;61838
8;376;275706;51387;0;3877
8;377;276384;51387;0;64492
8;378;276977;51388;0;2888
8;379;278407;51389;0;18816
8;380;279019;51390;0;48263
8;381;279716;51390;0;32843
8;382;280318;51391;0;7642
8;383;280999;51392;0;30347
8;384;281578;51392;0;41701
8;385;282262;51393;0;34197
8;386;282855;51394;0;16833
8;387;283539;51394;0;52030
8;388;284105;51395;0;64077
8;389;284793;51396;0;40677
8;390;285383;51396;0;20530
8;391;286096;51397;0;42854
8;392;286686;51397;0;20846
8;393;287338;51398;0;51256
8;394;287940;51399;0;10027
8;395;288650;51399;0;59750
8;396;289269;51400;0;33931
8;397;289950;51401;0;40160
8;398;290514;51401;0;31436
8;399;291202;51402;0;64966
8;400;291790;51403;0;35840
8;401;292486;51403;0;47239
8;402;293066;51404;0;27258
8;403;293737;51405;0;61356
8;404;294323;51405;0;13229
8;405;295007;51406;0;38460
8;406;295596;51406;0;37026
8;407;296253;51407;0;6953
8;408;296859;51408;0;3006
8;409;297547;51408;0;7150
8;410;298150;51409;0;11298
8;411;298809;51410;0;27102
8;412;299377;51410;0;55671
8;413;300062;51411;0;52424
8;414;300650;51411;0;26812
8;415;301337;51412;0;57049
8;416;301904;51413;0;15473
8;417;302577;51413;0;29072
8;418;303165;51414;0;33052
8;419;303858;51415;0;31007
8;420;304459;51415;0;52008
8;421;305112;51416;0;20822
8;422;305715;51416;0;61443
8;423;306399;51417;0;12920
8;424;307000;51418;0;2192
8;425;307683;51418;0;11056
8;426;308265;51419;0;749
8;427;308976;51420;0;17995
8;428;309567;51420;0;55676
8;429;310249;51421;0;3826
8;430;310818;51422;0;44028
8;431;311506;51422;0;5732
8;432;312093;51423;0;4309
8;433;312790;51424;0;27784
8;434;313379;51424;0;59931
8;435;314035;51425;0;60395
8;436;314637;51425;0;20887
8;437;315323;51426;0;47711
8;438;315913;51427;0;64297
8;439;316582;51427;0;42590
8;440;317150;51428;0;50560
8;441;317845;51429;0;45430
8;442;318434;51429;0;4253
8;443;319134;51430;0;47179
8;444;319720;51431;0;44077
8;445;320396;51431;0;4482
8;446;321001;51432;0;2390
8;447;321676;51433;0;41765
8;448;322289;51433;0;31173
8;449;322958;51434;0;29759
8;450;323559;51434;0;61970
8;451;324248;51435;0;10062
8;452;324835;51436;0;64291
8;453;325509;51436;0;16486
8;454;326086;51437;0;435
8;455;326771;51438;0;50777
8;456;327369;51438;0;5012
8;457;328066;51439;0;14879
8;458;328633;51439;0;20680
8;459;329301;51440;0;18924
8;460;329905;51441;0;14806
8;461;330589;51441;0;13680
8;462;331193;51442;0;38343
8;463;331851;51443;0;65331
8;464;332443;51443;0;17067
8;465;333125;51444;0;34632
8;466;333733;51444;0;45849
8;467;334418;51445;0;33393
8;468;334987;51446;0;37786
8;469;335678;51446;0;28145
8;470;336276;51447;0;54015
8;471;336972;51448;0;41547
8;472;337554;51448;0;51634
8;473;338222;51449;0;39710
8;474;338823;51450;0;41639
8;475;339508;51450;0;42502
8;476;340110;51451;0;31111
8;477;340766;51452;0;8437
8;478;341388;51452;0;51129
8;479;342085;51453;0;49079
8;480;342672;51453;0;37185
8;481;343361;51454;0;18476
8;482;343938;51455;0;20625
8;483;344638;51455;0;24271
8;484;345228;51456;0;1704
8;485;345926;51457;0;10307
8;486;346517;51457;0;46004
8;487;347199;51458;0;20717
8;488;347787;51459;0;53861
8;489;348475;51459;0;33883
8;490;349069;51460;0;38460
8;491;349722;51460;0;61929
8;492;350310;51461;0;1930
8;493;350996;51462;0;20030
8;494;351609;51462;0;38016
8;495;352275;51463;0;53847
8;496;352844;51464;0;3919
8;497;353529;51464;0;30762
8;498;354130;51465;0;4246
8;499;354818;51466;0;25106
8;500;355396;51466;0;13726
8;501;356069;51467;0;28395
8;502;356669;51467;0;26207
8;503;357353;51468;0;14320
8;504;357947;51469;0;9243
8;505;358599;51469;0;13421
8;506;359191;51470;0;18928
8;507;359876;51471;0;49560
8;508;360465;51471;0;58934
8;509;361133;51472;0;15551
8;510;361715;51472;0;47726
8;511;362401;51473;0;4828
8;512;362989;51474;0;12766
8;513;363673;51474;0;19157
8;514;364250;51475;0;63689
8;515;364936;51476;0;30276
8;516;365524;51476;0;23197
8;517;366221;51477;0;7660
8;518;366822;51478;0;42647
8;519;367474;51478;0;13609
8;520;368068;51479;0;57356
8;521;368767;51480;0;31502
8;522;369357;51480;0;41893
8;523;370035;51481;0;21869
8;524;370603;51481;0;57025
8;525;371299;51482;0;10780
8;526;371885;51483;0;30447
8;527;372568;51483;0;21956
8;528;373136;51484;0;42312
8;529;373808;51485;0;54517
8;530;374396;51485;0;13017
8;531;375093;51486;0;53091
8;532;375686;51487;0;44747
8;533;376353;51487;0;37102
8;534;376952;51488;0;39030
8;535;377649;51488;0;24176
8;536;378238;51489;0;48537
8;537;378915;51490;0;55828
8;538;379484;51490;0;24663
