flag; num; time_ms; bmp_temp; bmp_press; fhotores; status; crc
32;318;68779;2817;99450;2359;18433;15472
32;319;68882;2817;99450;2367;18433;51384
32;320;68893;2817;99450;2363;18433;2312
32;321;69006;2816;99450;2341;18433;27582
32;322;69149;2815;99450;2324;18433;35846
32;323;69253;2815;99449;2328;18433;55687
32;324;69264;2815;99450;2333;18433;34075
32;325;69379;2814;99449;2341;18433;31340
32;326;69390;2814;99449;2316;18433;15287
32;327;69494;2814;99449;2407;18433;20402
32;328;69525;2814;99450;2439;18433;5786
32;329;69631;2814;99450;2690;18433;61554
32;330;69642;2814;99449;2805;18433;46537
32;331;69870;2813;99450;3185;18433;56725
32;332;69899;2813;99450;3178;18433;37403
32;333;70004;2813;99449;3178;18433;6560
32;334;70015;2813;99449;3178;18433;38693
32;335;70119;2813;99449;3144;18433;40901
32;336;70130;2813;99449;3151;18433;54475
32;337;70233;2812;99449;3124;18433;11292
32;338;70264;2812;99450;3046;18433;10865
32;339;70367;2812;99451;2851;18433;28880
32;340;70503;2812;99451;2572;18433;28305
32;341;70609;2811;99451;2490;18433;21110
32;342;70651;2811;99451;2728;18433;38338
32;343;70754;2811;99451;3240;18433;17613
32;344;70765;2811;99451;3247;18433;63383
32;345;70868;2811;99451;3137;18433;58703
32;346;70879;2811;99451;3137;18433;27594
32;347;70982;2810;99452;2964;18433;48773
32;348;70993;2810;99452;2952;18433;13438
32;349;71220;2810;99452;2839;18433;28986
32;350;71231;2810;99452;2857;18433;28940
32;351;71334;2810;99452;2799;18433;31654
32;352;71345;2810;99452;2816;18433;46695
32;353;71457;2809;99452;2862;18433;61042
32;354;71488;2809;99452;2874;18433;6776
32;355;71591;2809;99453;2952;18433;30782
32;356;71602;2809;99453;2964;18433;1031
32;357;71707;2809;99453;2946;18433;3060
32;358;71846;2809;99454;2892;18433;23515
32;359;71949;2809;99454;2916;18433;43112
32;360;71960;2809;99454;2946;18433;12850
32;361;72063;2809;99454;2946;18433;23648
32;362;72074;2809;99454;2940;18433;10247
32;363;72178;2809;99454;2964;18433;6886
32;364;72189;2809;99454;2940;18433;59453
32;365;72304;2809;99454;2952;18433;57553
32;366;72332;2809;99453;2928;18433;60240
32;367;72553;2809;99454;2928;18433;43432
32;368;72584;2809;99454;2940;18433;9957
32;369;72687;2809;99454;2898;18433;56739
32;370;72698;2809;99454;2898;18433;30173
32;371;72801;2809;99454;2868;18433;40699
32;372;72832;2809;99454;2839;18433;49305
32;373;72935;2809;99454;2799;18433;33653
32;374;72946;2809;99454;2805;18433;22535
32;375;73050;2809;99454;2728;18433;55335
32;376;73205;2808;99454;2607;18433;5041
32;377;73308;2808;99454;2567;18433;39942
32;378;73319;2808;99454;2557;18433;59149
32;379;73424;2808;99454;2514;18433;53449
32;380;73453;2808;99454;2548;18433;40470
32;381;73556;2808;99454;2523;18433;3261
32;382;73567;2808;99454;2509;18433;48646
32;383;73670;2808;99455;2476;18433;32532
32;384;73681;2808;99455;2504;18433;49819
32;385;73908;2809;99455;2514;18433;48332
32;386;73937;2809;99455;2485;18433;27850
32;387;74040;2809;99455;2372;18433;6512
32;388;74070;2809;99455;2350;18433;5866
32;389;74176;2809;99455;2213;18433;53303
32;390;74187;2809;99455;2205;18433;63384
32;391;74289;2809;99455;1920;18433;42073
32;392;74320;2809;99455;1927;18433;16767
32;393;74422;2809;99455;2190;18433;56436
32;394;74561;2809;99455;2136;18433;43327
32;395;74673;2809;99455;2003;18433;51700
32;396;74704;2809;99455;1976;18433;11191
32;397;74807;2809;99455;1917;18433;55154
32;398;74818;2809;99455;1920;18433;28599
32;399;74924;2809;99455;1851;18433;10591
32;400;74935;2809;99455;1860;18433;17899
32;401;75037;2809;99455;2000;18433;29658
32;402;75048;2809;99455;2003;18433;56759
32;403;75266;2810;99456;1901;18433;19547
32;404;75297;2810;99457;1876;18433;44261
32;405;75402;2810;99459;1895;18433;36907
32;406;75413;2810;99459;1895;18433;9724
32;407;75526;2811;99459;1917;18433;51416
32;408;75554;2811;99460;1898;18433;23610
32;409;75660;2812;99460;1876;18433;19690
32;410;75671;2812;99460;1863;18433;34019
32;411;75774;2812;99461;1833;18433;46822
32;412;75920;2813;99461;1809;18433;36664
32;413;76023;2813;99461;1771;18433;8636
32;414;76034;2814;99461;1771;18433;40032
32;415;76137;2814;99461;1757;18433;61324
32;416;76147;2814;99461;1762;18433;53457
32;417;76253;2814;99461;1748;18433;22840
32;418;76264;2814;99462;1743;18433;41284
32;419;76376;2815;99462;1740;18433;15898
32;420;76407;2815;99462;1740;18433;20519
32;421;76627;2816;99462;1745;18433;30988
32;422;76638;2816;99462;1748;18433;16555
32;423;76740;2816;99462;1748;18433;25775
32;424;76751;2817;99462;1757;18433;59215
32;425;76854;2817;99462;1768;18433;41532
32;426;76865;2817;99462;1748;18433;10539
32;427;76970;2818;99462;1774;18433;62276
32;428;77001;2818;99462;1774;18433;40968
32;429;77104;2818;99462;1777;18433;13813
32;430;77262;2819;99462;1788;18433;19598
32;431;77365;2819;99462;1800;18433;2226
32;432;77376;2819;99462;1794;18433;52298
32;433;77480;2820;99462;1812;18433;20175
